Category,Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer
Abstract,1,"What comes next in the pattern AAA?","Option (a)","Option (b)","Option (c)","Option (d)",a
Abstract,2,"Which shape is the odd one out?","Circle","Triangle","Square","Cube",d
Abstract,3,"If "@" = 1, "#"=2, "$" =3, then what does "@#@$" represent?","1213","1321","1231","1312",a
Abstract,4,"Complete the pattern: 2, 4, 8, 16, ?","18","24","30","32",d
Abstract,5,"Which figure is a correct rotation of ↑→↓?","↓↑→","→↓↑","→↑↓","↑↓→",b
Abstract,6,"Which figure completes the analogy: Square: 4 sides :: Pentagon: ?","3 sides","5 sides","6 sides","7 sides",b
Abstract,7,"Which of these best represents abstraction in mathematics?","Solving only one example","Generalizing patterns into formulas","Memorizing random numbers","Listing observations without rules",b
Abstract,8,"Find the missing shape:","(a)","(b)","(c)","(d).",b
Abstract,9,"Which number does not belong in the group? 3, 5, 9, 17, 33, 65, 129, 257, 513","9","33","513","65",a
Abstract,10,"If "" is mirrored horizontally, which is the correct image?","(a)","<◆>","(c)","↔",b
Abstract,11,"Which figure completes the sequence?","(a)","(b)","(c)","▲",d
Abstract,12,"A cube has faces A, B, C, D, E, F. If A opposite D, and B opposite E, which is opposite C?","A","B","F","D",c
Abstract,13,"Which option generalizes: 2+4=6, 4+6=10, 6+8=14?","n+(n+2)","n x 2","n²","Fibonacci rule",a
Abstract,14,"In a number pattern, each term is double the previous minus 1. If first is 3, what is the 4th?","11","13","15","17",b
Abstract,15,"Which figure matches abstraction of a cycle?","Random dots","A circular loop","A square grid","A line segment",b
Abstract,16,"If A=2, a=4, O=6, what sequence does A represent?","246","864","248","426",c
Abstract,17,"A diagram with 3 overlapping circles labeled A, B, C has the intersection shaded. Which concept is shown?","Symmetry","Hierarchy","Set Intersection","Difference",c
Abstract,18,"Find the missing step:→→→?","..","....","(c)","...",b
Abstract,19,"A figure is rotated 90° clockwise three times. Final orientation is?","Same as original","90° clockwise","180°","270°",d
Abstract,20,"A folded paper has one hole. When unfolded it shows 4 holes. How many layers were folded?","1","2","4","8",b
Abstract,21,"A series is generated by n²+n. What is the 6th term?","36","42","48","56",b
Abstract,22,"A matrix has rows shifting one place forward each time. If row 1 is 1,2,3→ row 2 is 2,3,4 row 3 is?","3,4,5","4,5,6","5,6,7","6,7,8",a
Abstract,23,"Which best describes abstraction in computer science?","Ignoring unimportant details","Adding unnecessary complexity","Memorizing code","Writing everything literally",a
Abstract,24,"A puzzle uses only shapes but rules are hidden. Which skill is applied to solve?","Abstraction","Random guessing","Blind memorization","Direct calculation",a
Abstract,25,"A recursive figure doubles its size at each step. At step 5, starting with 1 block, how many blocks?","8","16","32","64",c
Algorithmic,1,"Start at 3, multiply by 2, add 4, subtract 1. What is the result?","9","10","11","12",c
Algorithmic,2,"Which option best represents an algorithm to find the largest of three numbers?","Compare first two, then compare the larger with the third","Add all numbers","Subtract smallest from largest","Multiply all and divide by 2",a
Algorithmic,3,"Which of the following best defines an algorithm?","A list of random instructions","A single equation","A sequence of unorganized data","A step-by-step procedure for solving a problem",d
Algorithmic,4,"What must an algorithm always have?","Visual output","An infinite loop","A clear input and output","At least 10 steps",c
Algorithmic,5,"Arrange steps for making tea: Pour water, Add tea leaves, Boil water, Add sugar/milk.","1→2→3→4","1 3→2→4","3 1→2→4","2 1→4→3",c
Algorithmic,6,"Which everyday task best represents an algorithm?","Random shopping","Following a cooking recipe","Talking to a friend","Reading a novel",b
Algorithmic,7,"Which of these is NOT a property of an algorithm?","Finiteness","Definiteness","Ambiguity","Input/Output",c
Algorithmic,8,"A loop starts at 2. Repeat 3 times: multiply current value by 2. What is final output?","8","16","12","6",b
Algorithmic,9,"Which condition represents "loop until an even number is found"?","While number >0","Until number is even","If number is even","Repeat while number is odd",d
Algorithmic,10,"Start =5 While value < 20: add 3. How many iterations?","4","5","6","Infinite",b
Algorithmic,11,"What is the output pattern if we start at 1 and add 3 for 4 iterations?","1,4,7,10,13","1,2,3,4","1,4,6,9,12","1,3,5,7",a
Algorithmic,12,"Which of these is a sorting algorithm?","Bubble sort","Stack","Queue","Hashing",a
Algorithmic,13,"Which step is essential in debugging an algorithm?","Guessing outputs","Checking each step systematically","Ignoring errors","Copying another algorithm",b
Algorithmic,14,"What is the output if you start with x=4, repeat 2 times: add 2 then multiply by 2?","12","16","20","24",d
Algorithmic,15,"Which loop type guarantees execution at least once?","for loop","while loop","do-while loop","infinite loop",c
Algorithmic,16,"You are given a list [2,4,6,8,10]. Which is the most efficient search for 8?","Linear search","Random check","Binary search","Multiply all and check",c
Algorithmic,17,"Which algorithm prints even numbers 1-10?","ori=1 to 10: if i%2!=0 print i","For i=1 to 10: if i%2==0 print i","Print only odd numbers","While i>10 print i",b
Algorithmic,18,"What is the time complexity of checking all n elements one by one?","O(n)","0(1)","O(n²)","O(log n)",a
Algorithmic,19,"A flowchart takes x, checks if x>10: if true subtract 2 else add 3. If x=9 what happens?","Subtract 2-7","Add 3→12","Add 3 then subtract 2","Add 3 12→ end",d
Algorithmic,20,"To find the maximum of n numbers, what must you track?","A string","A counter","Largest number so far","A list of all numbers",c
Algorithmic,21,"Which algorithm strategy tries every possibility to ensure correctness?","Divide and conquer","Greedy approach","Brute force","Dynamic programming",c
Algorithmic,22,"Which algorithm design technique breaks a problem into overlapping subproblems?","Brute force","Divide and conquer","Dynamic programming","Greedy",c
Algorithmic,23,"A recursive function calls itself until a base condition is met. Which property ensures it ends?","Infinite loop","Base case","Randomization","Memorization",b
Algorithmic,24,"Which sorting algorithm has worst-case O(n²)?","Merge sort","Quick sort","Bubble sort","Heap sort",c
Algorithmic,25,"Which data structure is most suited to implement BFS algorithm?","Stack","Queue","Tree","Linked list",b
Computational,1,"You need a to-do list for study. Which option best represents an algorithm?","Writing random thoughts","Listing step-by-step actions","Reading without planning","Skipping tasks",b
Computational,2,"A recipe says: "Boil water → Add tea → Add sugar → Stir → Serve." This is an example of:","Random activity","Storytelling","Step-by-step procedure","Guesswork",c
Computational,3,"Which shows pattern recognition?","Plants grow faster in sunlight","Watching a movie","Reading a novel","Changing ringtone",a
Computational,4,"In a biology experiment, you repeat the process with 5 samples. What computational concept is this?","Abstraction","Repetition (loop)","Sorting","Debugging",b
Computational,5,"A fruit-sorting machine separates ripe and unripe fruits by color. Which concept is used?","Pattern recognition","Random guessing","Sorting randomly","Naming fruits",a
Computational,6,"When you summarize only important steps in solving a math problem, this is:","Guessing","Abstraction","Memorization","Visualization",b
Computational,7,"Which of these is an example of decomposition?","Breaking a computer into parts: CPU, memory, I/O","Memorizing facts","Random guessing","Ignoring details",a
Computational,8,"You observe mosquitoes breed in stagnant water. You advise: "If water is standing, then clean it." This is:","Storytelling","Conditional logic","Repetition","Abstraction",b
Computational,9,"You want to store patient data: Name, Age, Blood Type. What must be included?","Hobbies","Eye color","Unrelated interests","Only essential health details",d
Computational,10,"In an experiment, you record the same result repeatedly. Best strategy?","Stop trying","Look for patterns and verify","Randomly change procedure","Add more chemicals",b
Computational,11,"Writing a lab report by focusing only on results, not irrelevant details, is called:","Decoration","Guessing","Abstraction","Expansion",c
Computational,12,"Studying the heart by learning atria, ventricles, valves resembles:","Memorization","Decomposition","Visualization","Substitution",b
Computational,13,"Which example demonstrates debugging?","Repeating the same mistake","Finding and fixing an error in steps","Memorizing steps only","Ignoring mistakes",b
Computational,14,"If a robot fails to detect red objects, what computational concept is applied in fixing this?","Abstraction","Pattern recognition","Debugging","Random testing",c
Computational,15,"A teacher groups students based on marks into A, B, C grades. Which concept is applied?","Sorting","Abstraction","Randomization","Decomposition",a
Computational,16,"You want to build an app to track plant growth using sunlight and water data. First step?","Buy a sensor","Write random code","Identify inputs and outputs","Design logo",c
Computational,17,"A diagnostic flow: "If fever>101°F → Check infection → If yes, suggest antibiotic." This is an example of:","Guessing","Algorithm with conditionals","Random choice","Storytelling",b
Computational,18,"Testing blood samples Group A→B→C for 5 patients is applying:","Debugging","Looping through a list","Filtering data","None",b
Computational,19,"A decision tree: If answer=No, go left; If Yes, go right. This logic is:","Guessing","Sequential flow","Binary decision making","Random choice",c
Computational,20,"You plan alternate study days for biology and programming, with weekly review. This shows:","Poor management","Scheduling algorithm","Random habit","Memorization",b
Computational,21,"Which concept is used when filtering large data sets to show only relevant fields?","Sorting","Abstraction","Decomposition","Filtering",d
Computational,22,"A student designs a simulation to predict weather using past data. This applies:","Pattern recognition","Abstraction","Randomization","Guessing",a
Computational,23,"Which step in computational thinking is MOST related to reusing existing code libraries?","Abstraction","Pattern recognition","Decomposition","Debugging",a
Computational,24,"A smart fridge detects items and creates a shopping list. Which concept is dominant?","Sorting","Pattern recognition","Random sampling","Guessing",b
Computational,25,"In designing AI models, removing noise/unnecessary features from data is an example of:","Abstraction","Decomposition","Sorting","Debugging",a
Critical,1,"If all teachers are educated, and some educated people are not teachers, which statement must be true?","All educated are teachers","Some educated are not teachers","Some teachers are not educated","None of these",b
Critical,2,"Why do doctors wash their hands before surgery?","Tradition in hospitals","To reduce risk of infection","To save time","To make patients feel comfortable",b
Critical,3,"You see smoke coming out of a building. What is the most reasonable assumption?","The building is on fire","Someone is cooking","There is dust in the air","Smoke always means fire",a
Critical,4,"A man reads every day but never buys books. What could explain this?","He doesn't like reading","He borrows books from a library","He reads without understanding","He only reads newspapers",b
Critical,5,"Which of these is an opinion, not a fact?","Water boils at 100°C","Reading books makes you smarter","The sun rises in the east","Humans need oxygen to live",b
Critical,6,"If a road is wet, which conclusion is most logical?","It rained recently","Someone washed the road","Both A and B are possible","The road is broken",c
Critical,7,"A man claims he can predict tomorrow's weather perfectly every day. How can we test this claim scientifically?","Believe him immediately","Observe his predictions over several days","Ask his friends","Read a weather book",b
Critical,8,"A shopkeeper says a product is "50% off", but the price is higher than before. What explains this?","It's a real discount","The shopkeeper increased the original price before discount","The product is free","The sign is a mistake",b
Critical,9,"Which of these arguments is the weakest?","Exercise improves health; therefore, people should exercise.","Studying leads to better grades; therefore, students should study.","Drinking water prevents hunger; therefore, don't eat food.","Wearing seatbelts saves lives; therefore, always wear them.",c
Critical,10,"You hear a strange noise in your computer. What is the most logical next step?","Hit the computer","Restart the system","Check for loose hardware or fan issues","Throw it away",c
Critical,11,"A scientist finds evidence supporting his theory. Which action avoids bias?","Ignore contradictory evidence","Only publish supporting data","Test and consider all evidence","Ask friends for opinions",c
Critical,12,"A coin lands heads 5 times in a row. What is the best conclusion?","The next toss will definitely be heads","The coin is biased or it's coincidence","Tossing guarantees equal heads and tails every time","The coin will land tails next",b
Critical,13,"A person always drives recklessly but claims they are safe. This is an example of:","Logical reasoning","Contradiction","Deductive proof","Strong evidence",b
Critical,14,"A company claims its medicine works for everyone, but no tests are done. This claim lacks:","Evidence","Assumptions","Opinions","Theories",a
Critical,15,"A student is absent often but gets high marks. The best inference is:","Attendance is necessary for marks","The student studies outside class","The student is cheating","Teachers grade randomly",b
Critical,16,"A politician says: "Crime has reduced since I became mayor." Which question tests this claim?","Do you like being mayor?","Has crime reduced due to other factors?","How many voters support you?","Did the population decrease?",b
Critical,17,"Every successful startup had strong leadership. Which conclusion is correct?","Leadership guarantees success","Some failed startups had weak leadership","Strong leadership is one factor in success","Startups fail without leadership",c
Critical,18,"A study shows drinking tea daily is linked to better memory. Best interpretation?","Tea directly improves memory","People with better memory like tea","Correlation doesn't prove cause","Tea is the only factor",c
Critical,19,"A school has 90% pass rate. Which critical question matters most?","Are the exams too easy?","Do students enjoy exams?","Who teaches in that school?","What is the school's theme color?",a
Critical,20,"Which is a flawed argument?","If it rains, roads are wet. It is raining, so roads are wet.","All computers need power. This device needs power, so it's a computer.","Eating vegetables improves health, so eat vegetables.","Practice improves coding skills.",b
Critical,21,"A person believes "All new technologies are harmful." This is an example of:","Open-minded reasoning","Critical thinking","Overgeneralization","Cause-effect reasoning",c
Critical,22,"A company advertises: "Our product is best because no one complained." This is:","Strong evidence","Appeal to ignorance","Deductive logic","Causal reasoning",b
Critical,23,"A friend says: "If you don't invest in my idea, you'll regret it forever." This is:","Logical reasoning","Emotional manipulation (fear appeal)","Sound argument","Critical thinking",b
Critical,24,"A student argues: "I failed because the exam was unfair, not because I didn't study." This is:","Shifting blame (fallacy)","Valid critical reasoning","Scientific proof","Empirical evidence",a
Critical,25,"Which of the following best illustrates confirmation bias?","Reading both positive and negative reviews","Searching only for evidence that supports your opinion","Ignoring irrelevant details","Testing all hypotheses equally",b
Creative,1,"Which of the following is an example of creative thinking?","Memorizing a formula","Solving a math problem in a new way","Copying someone's notes","Repeating learned steps",b
Creative,2,"You have a box, a candle, matches, and thumbtacks. How can you fix the candle to the wall without dripping wax?","Stick the candle to the wall","Melt wax and glue it","Use the box as a candle holder and tack it to the wall","Hold the candle with hand",c
Creative,3,"If cars never existed, which innovative alternative might evolve for transport?","Horses only","Rocket backpacks","AI-powered flying carpets or smart vehicles","None",c
Creative,4,"Which book title is the most creative for Artificial Intelligence?","AI Basics","Thinking Machines","Computer Science Notes","Robots and Humans",b
Creative,5,"Which option demonstrates "thinking outside the box"?","Using the same method repeatedly","Finding multiple different solutions to a problem","Giving up on a problem","Memorizing solutions",b
Creative,6,"If pens were never invented, which alternative would people imagine for writing?","Speaking words loudly","Drawing in the sand","Using sticks dipped in ink or digital stylus","None",c
Creative,7,"Which of these is an example of combining ideas?","Sleeping instead of working","A phone that is also a camera and music player","A broken laptop","A chair without a seat",b
Creative,8,"A city has too much traffic. Which solution shows creative thinking?","Build more roads only","Introduce flying taxis or underground walkways","Ban all cars forever","Do nothing",b
Creative,9,"A company designs a backpack students love. Which approach is creative?","Copy an existing design","Ask students for new features they want","Make only larger bags","Add random patterns",b
Creative,10,"Which is a sign of creativity?","Sticking to one method","Generating many different ideas for a single problem","Memorizing known answers","Refusing to take risks",b
Creative,11,"Which invention best shows combining unrelated fields?","A normal bicycle","A smartwatch that tracks heartbeat and calls emergency services","A car without wheels","A simple calendar",b
Creative,12,"You need to keep a drink cool without a fridge. Which solution is creative?","Leave it under the sun","Wrap it in a wet cloth and place it in the breeze","Drink it warm","Pour it on ice cream",b
Creative,13,"A game designer wants a new mobile game. Which idea shows creativity?","Copying a popular game","Mixing puzzles with music beats","Releasing the same version again","Using existing graphics only",b
Creative,14,"Which is the most creative use for an empty glass jar?","Throw it away","Use as a pencil holder, light jar, or mini plant pot","Keep it empty","Smash it",b
Creative,15,"A teacher asks students to design a future school. Which design is creative?","Draws current building","Imagines floating classrooms with AI assistants","Copies another design","Leaves the page blank",b
Creative,16,"A city faces power cuts. Which sustainable plan is creative?","Use diesel generators","Switch to solar-powered smart grids with storage batteries","Cut power for half the city","Increase bills to reduce usage",b
Creative,17,"Which product is an example of creative innovation?","A smartphone with a bigger screen","A foldable phone that becomes a tablet","A wired telephone","A calculator",b
Creative,18,"You design a chair that never tips over. Which feature is unique?","Normal four legs","Self-balancing gyroscope technology","A flat board","A chair without legs",b
Creative,19,"A community has excess rainwater flooding roads. Which solution is creative?","Build more drains","Collect rainwater in rooftop tanks for reuse","Do nothing","Make the ground concrete",b
Creative,20,"Which approach is NOT creative thinking?","Brainstorming freely","Asking "What if" questions","Copying old solutions blindly","Combining ideas from different areas",c
Creative,21,"A startup builds a bicycle + laptop stand for remote workers. This is:","Innovation through combination","Old thinking","Useless complexity","Predictable invention",a
Creative,22,"A student builds a robot that paints murals based on music beats. This thinking is:","Repetitive","Creative cross-domain thinking","Copy-paste","Memorization",b
Creative,23,"A group brainstorms to save office paper. Which idea is most creative?","Print on both sides","Share files digitally with voice-to-text reports","Throw away less","Ban printers",b
Creative,24,"Which project best demonstrates creative CS-based design thinking?","Building a static webpage","Designing AI-driven smart homes","Copying open-source code blindly","Using outdated technology",b
Creative,25,"A new app integrates AR for education and VR for therapy. This is an example of:","Unoriginal work","Multi-domain creative innovation","Purely entertainment","Non-creative reuse",b
Algorithmic,1,"Start at 3, multiply by 2, add 4, subtract 1. What is the result?","9","10","11","12",c
Algorithmic,2,"Which option best represents an algorithm to find the largest of three numbers?","Compare first two, then compare the larger with the third","Add all numbers","Subtract smallest from largest","Multiply all and divide by 2",a
Algorithmic,3,"Which of the following best defines an algorithm?","A list of random instructions","A single equation","A sequence of unorganized data","A step-by-step procedure for solving a problem",d
Algorithmic,4,"What must an algorithm always have?","Visual output","An infinite loop","A clear input and output","At least 10 steps",c
Algorithmic,5,"Arrange steps for making tea: Pour water, Add tea leaves, Boil water, Add sugar/milk.","1→2→3→4","1 3→2→4","3 1→2→4","2 1→4→3",c
Algorithmic,6,"Which everyday task best represents an algorithm?","Random shopping","Following a cooking recipe","Talking to a friend","Reading a novel",b
Algorithmic,7,"Which of these is NOT a property of an algorithm?","Finiteness","Definiteness","Ambiguity","Efficiency",c
Algorithmic,8,"What is the primary benefit of using a sorting algorithm?","To find the mean","To organize data for faster searching","To shuffle data","To delete data",b
Algorithmic,9,"Which statement is true about algorithms and flowcharts?","Flowcharts are more efficient","Algorithms are more visual","Flowcharts are a visual representation of algorithms","Algorithms do not need a starting point",c
Algorithmic,10,"To find if a number is even, you use the modulo operator (%). What is the condition?","number % 2 == 0","number / 2 == 0","number % 2 != 0","number * 2 == 0",a
Algorithmic,11,"To find if a year is a leap year, you divide by 4. What is the logic?","If year % 4 != 0","If year / 4 == 0","If year % 4 == 0","If year * 4 == 0",c
Algorithmic,12,"Which is an example of a brute-force algorithm?","Checking every single password to crack a lock","Using a smart key to open a door","Guessing the password with clues","Asking the owner for the password",a
Algorithmic,13,"Which search algorithm is fastest on a sorted list?","Linear search","Binary search","Sequential search","Random check",b
Algorithmic,14,"To find a book in a library, you search row by row. This is a:","Linear search","Binary search","Brute-force approach","Divide and conquer",a
Algorithmic,15,"What is the key idea of a divide and conquer algorithm?","Solving the problem all at once","Breaking a problem into small, independent subproblems","Trying every possible solution","Repeating the same step over and over",c
Algorithmic,16,"You are looking for the number 8 in a sorted list [1, 2, 4, 8, 16]. Which is faster?","Linear search","Random check","Binary search","Multiply all and check",c
Algorithmic,17,"Which algorithm prints even numbers 1-10?","for i=1 to 10: if i%2!=0 print i","For i=1 to 10: if i%2==0 print i","Print only odd numbers","While i>10 print i",b
Algorithmic,18,"What is the time complexity of checking all n elements one by one?","O(n)","0(1)","O(n²)","O(log n)",a
Algorithmic,19,"A flowchart takes x, checks if x>10: if true subtract 2 else add 3. If x=9 what happens?","Subtract 2-7","Add 3→12","Add 3 then subtract 2","Add 3 12→ end",d
Algorithmic,20,"To find the maximum of n numbers, what must you track?","A string","A counter","Largest number so far","A list of all numbers",c
Algorithmic,21,"Which algorithm strategy tries every possibility to ensure correctness?","Divide and conquer","Greedy approach","Brute force","Dynamic programming",c
